ลำดับที่,รหัสทะเบียนวิจัย,ฉบับที่ (ไทย),ฉบับที่ (อังกฤษ),ชื่องานวิจัย (ไทย),ชื่องานวิจัย (อังกฤษ),ชื่อผู้วิจัย (ไทย),ชื่องานวิจัย (อังกฤษ),หน่วยงาน (ไทย),หน่วยงาน (อังกฤษ),สังกัดหน่วยงาน (ไทย),สังกัดหน่วยงาน (อังกฤษ),ชื่อกรม (ไทย),ชื่อกรม (อังกฤษ),ชื่อกระทรวง (ไทย),ชื่อกระทรวง (อังกฤษ),คำสำคัญ (ไทย),คำสำคัญ (อังกฤษ),เลขที่ตั้งหน่วยงาน (ไทย),เลขที่ตั้งหน่วยงาน (อังกฤษ),ชื่อตำบล (ไทย),ชื่อตำบล (อังกฤษ),ชื่ออำเภอ (ไทย),ชื่ออำเภอ (อังกฤษ),ชื่อจังหวัด (ไทย),ชื่อจังหวัด (อังกฤษ),รหัสไปรษณีย์ (เลขไทย),รหัสไปรษณีย์ (เลขอารบิค),หมายเลขโทรศัพท์ (เลขไทย),หมายเลขโทรศัพท์ (เลขอารบิค),หมายเลขโทรสาร (เลขไทย),หมายเลขโทรสาร (เลขอารบิค),ปี พ.ศ. (เลขไทย),ปี ค.ศ. (เลขอารบิค),ปี พ.ศ. (เลขอารบิค),ไฟล์งานวิจัยฉบับย่อ (ไทย),ไฟล์งานวิจัยฉบับย่อ (อังกฤษ),ไฟล์งานวิจัยฉบับเต็ม (รวม),พาทเก็บไฟล์งานวิจัยฉบับย่อ (ไทย),พาทเก็บไฟล์งานวิจัยฉบับย่อ (อังกฤษ),พาทเก็บไฟล์งานวิจัยฉบับเต็ม (รวม)
248,47-0330-45087-017,๒/๒๕๕๔,2/1/2011,"ผลผลิตของหอยเป๋าฮื้อสองชนิด (Haliotis asinina Linnaeus, 1758) และ Haliotis diversicolor supertexta)ที่เลี้ยงในกระชังในทะเล","Production of Two Species of Abalone (Haliotis asinina Linnaeus, 1758) and Haliotis diversicolor supertexta) in Sea Cage Culture",ปริญญา สุทธนนท์<br>สมพิศ แย้มเกษม<br>เรณู ยาชิโร,"Parinya Sutthinon, Sompit Yaemkasem, Renu Yashiro",ศูนย์วิจัยและพัฒนาประมงชายฝั่งระยอง,Rayong Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,หอยเป๋าฮื้อพันธุ์ไทย Haliotis asinina หอยเป๋าฮื้อพันธุ์ไต้หวัน H.diversicolor supertexta ผลผลิต กระชังทะเล,"Thai abalone Haliotis asinina, Taiwanese abalone H. diversicolor supertexta, production, sea cage",๔๔ หมู่ ๑๐,Moo 10,ตะพง,Tapong,เมือง,Muang,ระยอง,Rayong,21000,21000,๐ ๓๘๖๕ ๕๑๙๑,-,-,-,2554,2011,2554,๒๒๕๕๔.pdf,22011.pdf,F22554.pdf,www.coastalaqua.com/research/files/th/๒๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/22011.pdf,http://www.coastalaqua.com/research/files/full/F22554.pdf
249,46-0330-45093-006,๓/๒๕๕๔,3/1/2011,"การเจริญเติบโตและอัตรารอดตายของลูกหอยหวาน (Babylonia areolata Link, 1807) ที่เลี้ยงเป็นหอยขนาดตลาดด้วยอาหารต่างชนิดในระบบน้ำทะเลไหลผ่านตลอด","Growth and Survival of Juvenile Spotted Babylon Snails (Babylonia areolata Link, 1807) Reared to Marketable Size with Different Feeds in Flow-through Seawater System",ปริญญา สุทธินนท์<br>สมพิศ แย้มเกษม<br>สุธาทิพย์ เฉิดฉิ้ม,"Parinya Sutthinon, Sompit Yaemkasem, Suthatip Chedchim",ศูนย์วิจัยและพัฒนาประมงชายฝั่งระยอง,Rayong Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,หอยหวาน Babylonia areolata อาหาร อัตราการเจริญเติบโต อัตรารอดตาย อัตรารอดตาย อัตราแลกเปลี่ยนอาหารเป็นเนื้อ,"Spotted Babylon snail Babylonia areolata, feed, growth rate, survival rate, FCR",ม.๑๐,Moo 10,ตะพง,Tapong,เมือง,Muang,ระยอง,Rayong,21000,21000,-,-,-,-,2554,2011,2554,๓๒๕๕๔.pdf,32011.pdf,F32554.pdf,www.coastalaqua.com/research/files/th/๓๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/32011.pdf,http://www.coastalaqua.com/research/files/full/F32554.pdf
250,53-0339-53064,๔/๒๕๕๔,4/1/2011,"ความเข้มข้นของน้ำมันกานพลูเพื่อใช้เป็นยาสลบพ่อแม่พันธุ์ปลากะพงขาว (Lates calcarifer Bloch, 1790) ปลากะรังดอกแดง (Epinephelus coioides Hamilton, 1822) และปลาช่อนทะเล (Rachycentron canadum Linnaeus, 1766)","Concentration of Clove Oil for Anesthetic Broodstock of Seabass (Lates calcarifer Bloch, 1790), Orange-spotted Grouper (Epinephelus coioides Hamilton, 1822) and Cobia (Rachycentron canadum Linnaeus, 1766)",พัชรา แมเร็าะ<br>ธวัชชัย ทองน้อย<br>มีชัย แก้วศรีทอง<br>อดุลย์ แมเร๊าะ,"Patchara Maeroh, Tawatchai Thongnoi, Meechai Kaewsritong, Adul Maeroh",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสตูล,Satun Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,น้ำมันกานพลู ยาสลบ พ่อแม่พันธุ์ปลา ปลากะพงขาว ปลากะรังดอกแดง ปลาช่อนทะเล,"Clove oil, Anesthetic, Broodstosk, Seabass (Lates calcarifer), Orange-spotted Grouper (Epinephelus coioides), Cobia (Rachycentron canadum)",,,ปากน้ำ,Paknam,ละงู,La-ngu,สตูล,Satun,91110,91110,๐ ๗๔ ๗๘๓ ๓๔๗,74783347,-,-,2554,2011,2554,๔๒๕๕๔.pdf,42011.pdf,F42554.pdf,www.coastalaqua.com/research/files/th/๔๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/42011.pdf,http://www.coastalaqua.com/research/files/full/F42554.pdf
251,49-0308-45118-046,๕/๒๕๕๔,5/1/2011,การจำแนกสายพันธุ์เชื้อโนดาไวรัสที่ก่อโรคในปลาทะเลด้วยยีนที่สังเคราะห์โปรตีน,Molecular Idenbification and Sequemce Analysis of Coat Protein Gene of Nodavirus Isolated from Marine Finfish,สมพร รุ่งกำเนิดวงศ์<br>จุไลวรรณ รุ่งกำนิดวงศ์,"Somporn Roongkamnertwongsa, Juliwan Roongkamnertwongsa",สถาบันวิจัยสุขภาพสัตว์น้ำชายฝั่ง,Coastal Aquatic Animal Health Research Institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,การจำแนก ชีวโมเลกุล วิวัฒนาการทางพันธุกรรม โนดาไวรัส,"Identificatiom, molecular, phylogenetic tree ,nodavirus",๑๓๐/๒ หมู่ ๘,130/2 Moo 8,พะวง,Pawong,เมือง,Muang,สงขลา,Songkhla,90100,90100,๐ ๗๔๓๓ ๔๕๑๖ ๘,0 7433 4516-8,-,-,2554,2011,2554,๕๒๕๕๔.pdf,52011.pdf,F52554.pdf,www.coastalaqua.com/research/files/th/๕๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/52011.pdf,http://www.coastalaqua.com/research/files/full/F52554.pdf
252,50-0336-50057-003,๖/๒๕๕๔,6/1/2011,"การอนุบาลปูทะเล (Scylla paramamosain Estampador, 1949) วัยอ่อนระยะซูเอี้ยถึงระยะลูกปูคราบแรกด้วยอาการต่างชนิดกัน","Nursing of Mud Crab (Scylla paramamosain Estampador, 1949) Larvae from Zoea to Young Crab Stage with Different Feed",สิริวรรณ หนูเซ่ง<br>สุพาภร แก้วอักษร,"Siriwan Nooseng, Supaporn Keaw-uksorn",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสุราษฎร์ธานี,Surat Thani Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,ปูทะเลวัยอ่อน ชนิดอาหาร,"mud crab larvae, types of feed",หมู่ ๔,Moo 4,ตะเคียนทอง,Takientong,กาญจนดิษฐ์,Kanchanadit,สุราษฎร์ธานี,Suratthani,84160,84160,๐ ๗๗๒๕ ๕๒๘๘,0 7725 5288,-,-,2554,2011,2554,๖๒๕๕๔.pdf,62011.pdf,F62554.pdf,www.coastalaqua.com/research/files/th/๖๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/62011.pdf,http://www.coastalaqua.com/research/files/full/F62554.pdf
253,50-3113-50069,๗/๒๕๕๔,7/1/2011,ผลของการเสริมแอสตาแซนทินและเบต้าแคโรทีนในอาหารต่อการเจริญเติบโต การเพิ่มสี และระบบภูมิคุ้มกันในปลากะพงแดง,"Dietary Supplemental Effect of Astaxanthin and B-carotene on Growth, Coloration and Immune System of Red Snapper (Lutijanus argrentimaculatus Forrsskal, 1775)",นงลักษณ์ สำราญราษฎร์<br>เพ็ญศรี เมืองเยาว์<br>สุพิศ ทองรอด<br>รุ่งทิวา แพงมี<br>สกล สาธร,"Nonglak Samranrat, Pensri Muangyao, Supis Thongrod, Rungtiwa Paengmee, Sakol Sathorn",สถาบันวิจัยอาหารสัตว์น้ำชายฝั่ง,Coastal Aquatic Feed Research Instetute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,แอสตาแซนทิน เบต้าแคโรทีน การเพิ่มสี ระบบภูมิคุ้มกัน ปลากะพงแดง,"astaxanthin, B-carotene, coloration, immune system, red snapper",๔๑/๑๔ หมู่ ๙,41/41 Moo 9,บางพระ,Bangpra,ศรีราชา,Sriracha,ชลบุรี,Chonburi,20110,20110,๐ ๓๘๓๑ ๒๕๓๒,0 3831 2532,-,-,2554,2011,2554,๗๒๕๕๔.pdf,72011.pdf,F72554.pdf,www.coastalaqua.com/research/files/th/๗๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/72011.pdf,http://www.coastalaqua.com/research/files/full/F72554.pdf
254,51-0313-50056-025,๘/๒๕๕๔,8/1/2011,"ผลของเมลามีนในอาหารต่อการเจริญเติบโต อัตราการรอดตาย อัตราการเปลี่ยนอาหารเป็นเนื้อ และการเปลี่ยนแปลงพยาธิสภาพในกุ้งกุลาดำ (Peneaus monodon Fabricius, 1798)","Effect of Melamine in Feed on Growth, Survival Rate, Feed Conversion Ratio and Pathological Changes in Black Tiger Shrimp (Penaus monodon Fabricius, 1798)",นงลักษณ์ สำราญราษฎร์<br>เพ็ญศรี เมืองเยาว์<br>สุพิศ ทองรอด<br>รุ่งทิวา แพงมี<br>ละอองแก้ว ยะพลหา,"Nonglak Samranrat, Pensri Muangyao, Supis Thongrod, Rungtiwa Paengmee and Laongkeaw Yaponha",สถาบันวิจัยอาหารสัตว์น้ำชายฝั่ง,Coastal Aquatic Feed Research Instetute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau		,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,เมลามีน กุ้งกุลาดำ อัตราการรอดตาย อัตราการเปลี่ยนอาหารเป็นเนื้อ พยาธิสภาพ,"melamine, black tiger shrimp, survival rate, feed conversion ratio, pathology",๔๑/๑๔ หมู่ ๙,41/14 Moo 9,บางพระ,Bangpra,ศรีราชา,Sriracha,ชลบุรี,Chonburi,20110,20110,๐ ๓๘๓๑ ๒๕๓๒,0 3831 2532,,-,2554,2011,2554,๘๒๕๕๔.pdf,82011.pdf,F82554.pdf,www.coastalaqua.com/research/files/th/๘๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/82011.pdf,http://www.coastalaqua.com/research/files/full/F82554.pdf
255,50-0308-50058-001,๑๐/๒๕๕๔,10/1/2011,"ประสิทธิภาพของผงขมิ้นชันต่อการกระตุ้นภูมิคุ้มกัน และความต้านทานเชื้อแบคทีเรียในกุ้งกุลาดำ (Penaeus monodon Fabricius, 1798)","Efficiency of Turmeric (Curcuma longa Linn.) Powder on Immune Responses and Bacterial Resistance in Black Tiger Shrimp (Penaeus monodon Fabricius, 1798)",จำเร็ญศรี ถาวรสุวรรณ<br>สรรเสริญ ช่อเจี้ยง<br>พิเชต พลายเพชร<br>ประดิษฐ์ ชนชื่นชอบ,"Jumroensri Thawonsuwan, Sansern Chorjiang, Pichet Playpeth, Pradit Chonchenchop",สถาบันวิจัยสุขภาพสัตว์น้ำชายฝั่ง,Coastal Aquatic Animal Health Research Institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau		,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,ขมิ้นชัน กุ้งกุลาดำ ภูมิคุ้มกัน แบคทีเรีย,"turmeric (Curcuma longa) black tiger shrimp (Penaeus monodon), immunity bacteria",๑๓๐/๒ หม,130/2 Moo 8,พะวง,Pawong,เมือง,Muang,สงขลา,Songkhla,90100,90100,๐ ๗๔๓๓ ๔๕๑๖ ๘,0 7433 4516-8,-,-,2554,2011,2554,๑๐๒๕๕๔.pdf,192011.pdf,F192554.pdf,www.coastalaqua.com/research/files/th/๑๐๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/192011.pdf,http://www.coastalaqua.com/research/files/full/F192554.pdf
256,50-0329-50061-003,๑๑/๒๕๕๔,11/1/2011,"ความเข้มแสงที่เหมาะสมสำหรับการอนุบาลลูกปลากะรังจุดฟ้า Plectroromus leopardus (Lacepede, 1802)","The Optimun Light Intensity for Nursing Blue-Spotted Grouper Larvae Plectropomus leopardus (Lacepede, 1802)",ชัชวาล วุฒิเมธี<br>ธวัช ศรีวีระชัย<br>จุฑารัตน์ ศิริสมบัติ,"Chtchawal Wuthimethee, Tawat Sriveerachai, Jutharat Sirisombat",ศูนย์วิจัยและพัฒนาประมงชายฝั่งตราด,Trat Coastal Aquaculture Station,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,ลูกปลากะรังจุดฟ้า Plectropomus leopardus ความเข้มแสง การอนุบาล,"Blue - Spotted Grouper Larvae, Plectropomus leopardus Light intensity, Nursery",๒๐๕ หมู่ ๒,205 Moo 2,อ่าวใหญ่,Ao-yai,เมือง,Muang,ตราด,Trat,23000,23000,๐ ๓๙๕๔ ๓๓๓๔-๕,0 3954 3334-5,-,-,2554,2011,2554,๑๑๒๕๕๔.pdf,112011.pdf,F112554.pdf,www.coastalaqua.com/research/files/th/๑๑๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/112011.pdf,http://www.coastalaqua.com/research/files/full/F112554.pdf
257,51-0336-50057-011,๑๒/๒๕๕๔,12/1/2011,"การฟักไข่ปูทะเล Scylla paramamosain (Estampador, 1949) จากจับปิ้งที่หักออกจากแม่ปูไข่นอกกระดอง","Egg Hatching of Mud Crab, Scylla paramamosain (Estampador, 1949) from Abdomen of Burried Female",สิริวรรณ หนูเซ่ง<br>อาภรณ์ เทพพานิช,"Siriwan Nooseng, Aporn Theppanich",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสุราษฎร์ธานี,Surat Thani Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,การฟักไข่ แม่ปูทะเลไข่นอกกระดอง จับปิ้ง,"egg hatching, berried female mud crab, abdomen",หมู่ ๔,Moo 4,ตะเคียนทอง,Takianthong,กาญจนดิษฐ์,Kanchanadit,สุราษฎร์ธานี,Suratthani,84160,84160,๐ ๗๗๒๕ ๕๒๘๘,0 7725 5288,-,-,2554,2011,2554,๑๒๒๕๕๔.pdf,122011.pdf,F122554.pdf,www.coastalaqua.com/research/files/th/๑๒๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/122011.pdf,http://www.coastalaqua.com/research/files/full/F122554.pdf
258,49-0330-45114-018,๑๓/๒๕๕๔,13/2011,"การเก็บน้ำเชื้อปลากะรังจุดฟ้า Plectropomus maculatus (Bloch, 1790) โดยวิธีแช่แข็ง","Sperm Cryopreservation of Blue Spotted Grouper, Plectropomus maculatus (Bloch, 1790)",เรณู ยาชิโร<br>นิพนธ์ เสนอินทร์<br>ศรัญญา เกตุมณี,"Renu Yashiro, Nipon Sean-in, Sarunya Ketmanee",ศูนย์วิจัยและพัฒนาประมงชายฝั่งระยอง,Rayong Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,ปลากะรังจุดฟ้า Plectropomus maculatus การแช่แข็งสเปิร์ม,"Blue Spotted Grouper, Plectropomus maculatus, sperm cryopreservation",หมู่ ๑๐,Moo 10,ตะพง,Tapong,เมือง,Muang,ระยอง,Rayong,21000,21000,๐ ๓๘๖๕ ๕๑๙๑,0 3865 5191,-,-,2554,2011,2554,๑๓๒๕๕๔.pdf,132011.pdf,F132554.pdf,www.coastalaqua.com/research/files/th/๑๓๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/132011.pdf,http://www.coastalaqua.com/research/files/full/F132554.pdf
259,52-0330-50060-008,๑๔/๒๕๕๔,14/2011,"รูปแบบและวิธีการในการแช่แข็งและการใช้ประโยชน์น้ำเชื้อแช่แข็งปลากะรังหงส์ Cromileptes altivelis (Valenciennes, 1828)","Methodology and Usage of Cryoprotected sperm of Humpback Grouper, Cromileptes altivelis (Valenciemmes, 1828)",นิพนธ์ เสนอินทร์<br>เรณู ยาชิโร<br>สิริยัน ธัญกิจจานุกิจ,"Nipon Sean-in, Renu Yashiro, Suriyan Tunkijjanukit ",ศูนย์วิจัยและพัฒนาประมงชายฝั่งระยอง,Rayong Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,ปลากะรังหงส์ Cromileptes altivelis วิธีการเก็บน้ำเชื้อโดยวิธีแช่แข็ง การใช้ประโยชน์,"Humpback Grouper, Cromileptes altivelis, Sperm cryopreservation, Usage",หมู่ ๑๐,Moo 10,ตะพง,Tapong,เมือง,Muang,ระยอง,Rayong,21000,21000,๐ ๓๘๖๕ ๕๑๙๑,0 3865 5191,-,,2554,2011,2554,๑๔๒๕๕๔.pdf,142011.pdf,F142554.pdf,www.coastalaqua.com/research/files/th/๑๔๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/142011.pdf,http://www.coastalaqua.com/research/files/full/F142554.pdf
260,50-0303-50059-002,๒๕/๒๕๕๔,15/2011,"ความสัมพันธ์ระหว่างปริมาณจุลินทรีย์ไนตริไฟอิงแบคทีเรียต่อคุณภาพน้ำและผลผลิตของปลากะรังดอกแดง (Epinephelus coioides Hamilton, 1822) ในระบบน้ำหมุนเวียน","Relationship of Nitrifying Bacteria with Water Quality and Production of Brown Spotted Grouper (Epinephelus coioides Hamilton, 1822) in the Recirculation Aquaculture System",อรัญญา อัศวอารีย์<br>วลีรัตน์ มูสิกะสังข์<br>ยงยุทธ ปรีดาลัมพะบุตร,"Aranya Assava-aree, Waleerat Musikasung, Youngyut Predalumpaburt",สถาบันวิจัยการเพาะเลี้ยงสัตว์น้ำชายฝั่ง,Coastal Aquaculture Research Institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,ไนตริไฟอิงแบคทีเรีย คุณภาพน้ำ ผลผลิต ปลากะรังดอกแดง ระบบน้ำหมุนเวียน,"nitrifying bacteria, water quality, production, grouper,recirculating aquaculture system",ถ.เก้าแสน ซ.๑,Kaosan Rd. Soi 1,เขารูปช้าง,Khaorupchang,เมือง,Muang,สงขลา,Songkhla,90000,90000,๐ ๗๔๓๑ ๑๘๙๕,0 7431 1895,-,-,2554,2011,2554,๒๕๒๕๕๔.pdf,152011.pdf,F152554.pdf,www.coastalaqua.com/research/files/th/๒๕๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/152011.pdf,http://www.coastalaqua.com/research/files/full/F152554.pdf
261,49-0303-45097-101,๑๖/๒๕๕๔,16/2011,"การประเมินผลผลิตกุ้งกุลาดำ(Penaeus monodon Fabricius, 1798) ที่ได้จากการทำฟาร์มทะเลโดยชุมชนในทะเลสาบสงขลา","The Assessment of Black Tiger Shrimp (Penaeus monodon Fabricius, 1798) Production from Community-Based Sea Ranching in Songkhla Lake",ยงยุทธ ปรีดาลัมพะบุตร<br>อรัญญา อัศวอารีย์<br>ประมัยพร ทองคณารักษ์,"Youngyut Predalumpaburt, Aranya Assava-aree, Pramaiporn Thongcanarak",สถาบันวิจัยการเพาะเลี้ยงสัตว์น้ำชายฝั่ง,Coastal Aquaculture Research Institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,ฟาร์มทะเลโดยชุมชุน ทะเลสาบสงขลา กุ้งกุลาดำ,"Sea ranching, Black tiger shrimp",ถ.เก้าแสน ซ.๑,Kaosan Rd. Soi 1,เขารูปช้าง,Khaorupchang,เมือง,Muang,สงขลา,Songkhla,90000,90000,๐ ๗๔๓๑ ๑๘๙๕,0 7431 1895,-,-,2554,2011,2554,๑๖๒๕๕๔.pdf,162011.pdf,F162554.pdf,www.coastalaqua.com/research/files/th/๑๖๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/162011.pdf,http://www.coastalaqua.com/research/files/full/F162554.pdf
262,49-0334-49142,๑๗/๒๕๕๔,17/2011,"ความเข้มข้นของแคลเซียม และแมกนีเซียม ในน้ำและดินในการเลี้ยงกุ้งขาว (Litopenaeus vannamei Boone, 1931)","Calcium and Magnesium Concentrations in Water and Soil for Pacific White Shrimp (Litopenaeus vannamei Boone, 1931) Culture",คมน์ ศิลปาจารย์<br>คมคาย ลาวัณยวุฒิ<br>นพดล ภูวพานิช<br>รัชดาภรณ์ เอี่ยมสำอางค์,"Kom Silapajarn, Komkhai Lawanyawut, Nopadol Puwanich, Ratchadaporn Aeumsamang",ศูนย์วิจัยและพัฒนาประมงชายฝั่งประจวบคีรีขันธ์,Prachuap Khiri Khan Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,กุ้งขาว Litopenaeud vannamei แคลเซี่ยม แมกนีเซียม,"White shrimp, Litopenaeus  vannamei, calcium, magnesium",๔๔๘ หมู่ ๑,448 Moo 1,คลองวาฬ,Klong wan,เมือง,Muang,ประจวบคีรีขันธ์,Prachuap Khiri Khan,77000,77000,๐ ๓๒๖๖ ๑๓๙๘,0 3266 1398,-,-,2554,2011,2554,๑๗๒๕๕๔.pdf,172011.pdf,F172554.pdf,www.coastalaqua.com/research/files/th/๑๗๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/172011.pdf,http://www.coastalaqua.com/research/files/full/F172554.pdf
263,53-0313-50056-045,๑๘/๒๕๕๔,18/2011,"เปรียบเทียบการเจริญเติบโตของกุ้งกุลาดำ (Penaeus monodon Fabricius, 1798) ที่ได้จากพ่อแม่พันธุ์ธรรมชาติและพ่อแม่พันธุ์รุ่นที่ 4","Comparative Study on Growth Performance of Wild and F4 Domesticated Black Tiger Shrimp (Penaeus monodon Fabricius, 1798) Broodstocks",ไวยพจน์ เครือเสน่ห์<br>จุฑารัตน์ กิตติวานิช<br>สมชาย พุฒหอม<br>จิรานุวัฒน์ ชูเพชร,"Vaiyapoch Kruesanae, Jutarat Kittiwanich, Somchai Puthom, Jiranuwat Chupeth",ศูนย์วิจัยและพัฒนาประมงชายฝั่งภูเก็ต,Phuket Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,การเจริญเติบโต ผลผลิต กุ้งกุลาดำธรรมชาติ กุ้งกุลาดำรุ่นที่ 4,"Growth, Production, Black tiger shrimp, Wild strain, F4 strain",๑๐๐ ถ.ป่าคลอก-เมืองใหม่,100 Pakrok-Muangmai Road,,,ถลาง,Thalang,ภลาง,Phuket,83110,83110,๐ ๗๖๖๒ ๑๘๒๒,0 7662 1822,-,-,2554,2011,2554,๑๘๒๕๕๔.pdf,182011.pdf,F182554.pdf,www.coastalaqua.com/research/files/th/๑๘๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/182011.pdf,http://www.coastalaqua.com/research/files/full/F182554.pdf
264,51-0336-50057-012,๑๙/๒๕๕๔,19/2011,"การเลี้ยงปูทะเล (Scylla paramamosain Estampador, 1949) ด้วยอาหารสำเร็จรูป","Culture of Mud Crab (Scylla paramamosain Estampador, 1949) Using Artificial Diet",อาภรณ์ เทพพานิช<br>มนทกานติ ท้ามติ้น<br>สิริวรรณ หนูเซ่ง,"Aporn Theppphanich, Montakan Tamtin, Siriwan Nooseng",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสุราษฎร์ธานี,Suratthani Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,ปูทะเล อาหารสำเร็จรูป การเจริญเติบโต,"Mud crab (Scylla paramamosain Estampador, 1949),Artificial diet, Growth rate",หมู่ ๔,Moo 4,ตะเคียนทอง,Takeantong,กาญจนดิษฐ์,Kanchanadit,สุราษฎร์ธานี,Suratthani,84160,81460,๐ ๗๗๒๕ ๕๒๘๘,-,-,-,2554,2011,2554,๑๙๒๕๕๔.pdf,192011.pdf,F192554.pdf,www.coastalaqua.com/research/files/th/๑๙๒๕๕๔.pdf,http://www.coastalaqua.com/research/files/en/192011.pdf,http://www.coastalaqua.com/research/files/full/F192554.pdf
